director,id,profit
Marcus Nispel,13207,72379051.0
Wayne Kramer,15577,-23962665.0
Daniel Barber,25941,3029747.0
Jonathan Mostow,19959,42444772.0
Andrzej Bartkowiak,15268,-37235799.0
Thor Freudenthal,15189,38034460.0
Steve Shill,17335,53830340.0
Francis Ford Coppola,11928,-14886779.0
Drew Barrymore,22798,1633035.0
Michael J. Bassett,32985,-37190000.0
George A. Romero,29426,-3856809.0
Gavin Hood,2080,191131793.0
Chris Fisher,17532,100000.0
Scott Sanders,24804,-2603443.0
Raymond De Felitta,28053,670712.0
Mira Nair,8915,-20741481.0
Peter Hyams,25137,-20611437.0
Jonas Elmer,14536,21010817.0
Richard Linklater,12404,-22663828.0
Robert Rodriguez,25132,-11027492.0
Stewart Hendler,26688,14706120.0
Stephen Frears,22215,-13633773.0
Derrick Borte,41479,-2977272.0
Will Gluck,17927,-1400898.0
Prabhu Deva,22717,59.0
Bobcat Goldthwait,20178,-9704250.0
Steven Soderbergh,17680,-692038.0
Vicky Jenson,25704,-8594755.0
Nicholas Jasenovec,25183,296971.0
Scott Cooper,25196,32462438.0
Anders Anderson,38850,-1992694.0
Jon Gunn,43937,-2147190.0
Bob Gosse,30128,-5570701.0
Dean O'Flaherty,21033,-1444000.0
Marc Lawrence,24438,27280250.0
Toby Wilkins,1977,33610009.0
Robert D. Siegel,29150,-17268.0
Bruce Beresford,33870,-4280549.0
Ben Wheatley,42151,-21192.0
Christopher Nolan,27205,665500000.0
Jon Favreau,10138,423933331.0
Tim Burton,12155,825467110.0
Darren Aronofsky,44214,314803731.0
David Yates,12444,704305868.0
Chris Renaud,20352,474513985.0
Pierre Coffin,20352,474513985.0
Sylvester Stallone,27578,194470394.0
Chris Sanders,10191,329878759.0
Dean DeBlois,10191,329878759.0
Martin Scorsese,11324,214804195.0
Joseph Kosinski,20526,230062763.0
Byron Howard,38757,331794936.0
Nathan Greno,38757,331794936.0
Lee Unkrich,10193,863171911.0
Phillip Noyce,27576,183329073.0
Danny Boyle,44115,17692920.0
Will Gluck,37735,66952305.0
Michael Apted,10140,260686217.0
Matthew Vaughn,23483,68188903.0
Florian Henckel von Donnersmarck,37710,178346189.0
Mike Newell,9543,185154643.0
Ridley Scott,20662,110669540.0
Ethan Coen,44264,214276927.0
Joel Coen,44264,214276927.0
Louis Leterrier,18823,107713139.0
Jon Turteltaub,27022,65283742.0
David Fincher,37799,184920315.0
Edgar Wright,22538,-12335441.0
Paul Weitz,39451,210650585.0
NimrÃ³d Antal,34851,86248813.0
Chris Columbus,32657,131497209.0
Tony Scott,44048,67805466.0
Mike Mitchell,10192,587600867.0
Lasse HallstrÃ¶m,22971,89977104.0
Joe Carnahan,34544,67238796.0
Robert Schwentke,39514,13664962.0
Ethan Maniquis,23631,11327899.0
Robert Rodriguez,23631,11327899.0
Dennis Dugan,38365,191430189.0
Albert Hughes,20504,77107755.0
Allen Hughes,20504,77107755.0
Shawn Levy,35056,97263880.0
Ben Affleck,23168,117026136.0
David Slade,24021,630491347.0
Tom McGrath,38055,191885765.0
M. Night Shyamalan,10196,168502923.0
Adam McKay,27581,70432927.0
James Wan,49018,95509150.0
Jon M. Chu,41233,129291809.0
Tom Hooper,45269,399211549.0
Edward Zwick,43347,72820008.0
Peter Weir,49009,-9651751.0
Miguel Sapochnik,31867,-13590109.0
Massy Tadjedin,23830,644937.0
James Mangold,37834,144930431.0
Ryan Murphy,38167,144594016.0
Derek Cianfrance,46705,11355734.0
Andy Tennant,27573,96000000.0
Anand Tucker,25195,10922472.0
Paul Greengrass,22972,-5117111.0
Rob Letterman,38745,125382724.0
Alan Poul,34806,42477008.0
Burr Steers,37950,4190704.0
Josh Gordon,41210,30830607.0
Will Speck,41210,30830607.0
Floria Sigismondi,27586,-7004189.0
Garry Marshall,32856,164485654.0
Troy Nixey,46261,11993168.0
Kevin Greutert,41439,116150434.0
Harald Zwart,38575,317852395.0
Todd Phillips,41733,146780824.0
Jonathan Lynn,44147,-4546957.0
Pierre Morel,26389,615806.0
Roman Polanski,11439,15222298.0
Anna Boden,43923,-1508760.0
Ryan Fleck,43923,-1508760.0
Paul Haggis,43539,21148651.0
Samuel Bayer,23437,80664037.0
Sylvain White,34813,-1420000.0
David O. Russell,45317,-15809131.0
Nicholas Stoller,32823,50029656.0
Jimmy Hayward,20533,-36461000.0
Aaron Seltzer,40264,60547866.0
Jason Friedberg,40264,60547866.0
Charles Ferguson,44639,5871522.0
Robert Luketic,37821,23159963.0
Scott Stewart,22894,41918658.0
Michael Patrick King,37786,188347692.0
Andy Fickman,38303,12005248.0
Susanna White,35019,58246388.0
Steve Pink,23048,28572262.0
Matt Reeves,41402,4145613.0
Rob Reiner,43949,-12244788.0
Zack Snyder,41216,60073390.0
John Luessenhop,22907,37055695.0
Steve Antin,42297,34519773.0
John Wells,44129,-10117423.0
Nanette Burstein,38073,10045846.0
"George Tillman, Jr.",41283,-918274.0
